n,x,y,z,tier,method,status
193,,,,T5,Failed (rational residue or no matching identity),failure
1249,,,,T5,Failed (rational residue or no matching identity),failure
2161,,,,T5,Failed (rational residue or no matching identity),failure
2521,,,,T5,Failed (rational residue or no matching identity),failure
2689,,,,T5,Failed (rational residue or no matching identity),failure
3121,,,,T5,Failed (rational residue or no matching identity),failure
3529,,,,T5,Failed (rational residue or no matching identity),failure
6841,,,,T5,Failed (rational residue or no matching identity),failure
6889,,,,T5,Failed (rational residue or no matching identity),failure
7177,,,,T5,Failed (rational residue or no matching identity),failure
7321,,,,T5,Failed (rational residue or no matching identity),failure
7489,,,,T5,Failed (rational residue or no matching identity),failure
7561,,,,T5,Failed (rational residue or no matching identity),failure
7681,,,,T5,Failed (rational residue or no matching identity),failure
8209,,,,T5,Failed (rational residue or no matching identity),failure
9601,,,,T5,Failed (rational residue or no matching identity),failure
10609,,,,T5,Failed (rational residue or no matching identity),failure
11449,,,,T5,Failed (rational residue or no matching identity),failure
12289,,,,T5,Failed (rational residue or no matching identity),failure
13729,,,,T5,Failed (rational residue or no matching identity),failure
14401,,,,T5,Failed (rational residue or no matching identity),failure
15289,,,,T5,Failed (rational residue or no matching identity),failure
15721,,,,T5,Failed (rational residue or no matching identity),failure
15889,,,,T5,Failed (rational residue or no matching identity),failure
16129,,,,T5,Failed (rational residue or no matching identity),failure
16561,,,,T5,Failed (rational residue or no matching identity),failure
17161,,,,T5,Failed (rational residue or no matching identity),failure
17497,,,,T5,Failed (rational residue or no matching identity),failure
17881,,,,T5,Failed (rational residue or no matching identity),failure
18769,,,,T5,Failed (rational residue or no matching identity),failure
19321,,,,T5,Failed (rational residue or no matching identity),failure
20113,,,,T5,Failed (rational residue or no matching identity),failure
21121,,,,T5,Failed (rational residue or no matching identity),failure
22201,,,,T5,Failed (rational residue or no matching identity),failure
23473,,,,T5,Failed (rational residue or no matching identity),failure
25609,,,,T5,Failed (rational residue or no matching identity),failure
26569,,,,T5,Failed (rational residue or no matching identity),failure
27073,,,,T5,Failed (rational residue or no matching identity),failure
27409,,,,T5,Failed (rational residue or no matching identity),failure
27481,,,,T5,Failed (rational residue or no matching identity),failure
28081,,,,T5,Failed (rational residue or no matching identity),failure
29929,,,,T5,Failed (rational residue or no matching identity),failure
30361,,,,T5,Failed (rational residue or no matching identity),failure
32041,,,,T5,Failed (rational residue or no matching identity),failure
32761,,,,T5,Failed (rational residue or no matching identity),failure
33529,,,,T5,Failed (rational residue or no matching identity),failure
34849,,,,T5,Failed (rational residue or no matching identity),failure
35209,,,,T5,Failed (rational residue or no matching identity),failure
36529,,,,T5,Failed (rational residue or no matching identity),failure
36721,,,,T5,Failed (rational residue or no matching identity),failure
36913,,,,T5,Failed (rational residue or no matching identity),failure
37249,,,,T5,Failed (rational residue or no matching identity),failure
37321,,,,T5,Failed (rational residue or no matching identity),failure
37489,,,,T5,Failed (rational residue or no matching identity),failure
37657,,,,T5,Failed (rational residue or no matching identity),failure
38281,,,,T5,Failed (rational residue or no matching identity),failure
38809,,,,T5,Failed (rational residue or no matching identity),failure
39601,,,,T5,Failed (rational residue or no matching identity),failure
39769,,,,T5,Failed (rational residue or no matching identity),failure
40849,,,,T5,Failed (rational residue or no matching identity),failure
41737,,,,T5,Failed (rational residue or no matching identity),failure
42001,,,,T5,Failed (rational residue or no matching identity),failure
42169,,,,T5,Failed (rational residue or no matching identity),failure
42793,,,,T5,Failed (rational residue or no matching identity),failure
42961,,,,T5,Failed (rational residue or no matching identity),failure
43201,,,,T5,Failed (rational residue or no matching identity),failure
44089,,,,T5,Failed (rational residue or no matching identity),failure
44521,,,,T5,Failed (rational residue or no matching identity),failure
44641,,,,T5,Failed (rational residue or no matching identity),failure
46441,,,,T5,Failed (rational residue or no matching identity),failure
47041,,,,T5,Failed (rational residue or no matching identity),failure
47809,,,,T5,Failed (rational residue or no matching identity),failure
48721,,,,T5,Failed (rational residue or no matching identity),failure
49729,,,,T5,Failed (rational residue or no matching identity),failure
51529,,,,T5,Failed (rational residue or no matching identity),failure
52369,,,,T5,Failed (rational residue or no matching identity),failure
52441,,,,T5,Failed (rational residue or no matching identity),failure
54937,,,,T5,Failed (rational residue or no matching identity),failure
55441,,,,T5,Failed (rational residue or no matching identity),failure
55849,,,,T5,Failed (rational residue or no matching identity),failure
56473,,,,T5,Failed (rational residue or no matching identity),failure
57241,,,,T5,Failed (rational residue or no matching identity),failure
58081,,,,T5,Failed (rational residue or no matching identity),failure
60937,,,,T5,Failed (rational residue or no matching identity),failure
61681,,,,T5,Failed (rational residue or no matching identity),failure
61801,,,,T5,Failed (rational residue or no matching identity),failure
62401,,,,T5,Failed (rational residue or no matching identity),failure
63001,,,,T5,Failed (rational residue or no matching identity),failure
63601,,,,T5,Failed (rational residue or no matching identity),failure
63841,,,,T5,Failed (rational residue or no matching identity),failure
64609,,,,T5,Failed (rational residue or no matching identity),failure
65521,,,,T5,Failed (rational residue or no matching identity),failure
66553,,,,T5,Failed (rational residue or no matching identity),failure
67801,,,,T5,Failed (rational residue or no matching identity),failure
68401,,,,T5,Failed (rational residue or no matching identity),failure
69001,,,,T5,Failed (rational residue or no matching identity),failure
69169,,,,T5,Failed (rational residue or no matching identity),failure
69889,,,,T5,Failed (rational residue or no matching identity),failure
70009,,,,T5,Failed (rational residue or no matching identity),failure
70249,,,,T5,Failed (rational residue or no matching identity),failure
70729,,,,T5,Failed (rational residue or no matching identity),failure
70969,,,,T5,Failed (rational residue or no matching identity),failure
71353,,,,T5,Failed (rational residue or no matching identity),failure
