n,x,y,z,mod_4,glyph,band
2,1,2,2,2,🜂,0
3,1,4,12,3,🜃,1
5,2,4,20,1,🜁,1
6,2,7,42,2,🜂,1
7,2,15,210,3,🜃,2
9,3,10,90,1,🜁,2
10,3,16,240,2,🜂,2
11,3,34,1122,3,🜃,3
13,4,18,468,1,🜁,3
14,4,29,812,2,🜂,3
15,4,61,3660,3,🜃,4
17,5,30,510,1,🜁,4
18,5,46,2070,2,🜂,4
19,5,96,9120,3,🜃,5
21,6,43,1806,1,🜁,5
22,6,67,4422,2,🜂,5
23,6,139,19182,3,🜃,6
25,7,60,2100,1,🜁,6
26,7,92,8372,2,🜂,6
27,7,190,35910,3,🜃,7
29,8,78,9048,1,🜁,7
30,8,121,14520,2,🜂,7
31,8,249,61752,3,🜃,8
33,9,100,9900,1,🜁,8
34,9,154,23562,2,🜂,8
35,9,316,99540,3,🜃,9
37,10,124,22940,1,🜁,9
38,10,191,36290,2,🜂,9
39,10,391,152490,3,🜃,10
41,11,154,6314,1,🜁,10
42,11,232,53592,2,🜂,10
43,11,474,224202,3,🜃,11
45,12,181,32580,1,🜁,11
46,12,277,76452,2,🜂,11
47,12,565,318660,3,🜃,12
50,13,326,105950,2,🜂,12
51,13,664,440232,3,🜃,13
53,14,248,92008,1,🜁,13
54,14,379,143262,2,🜂,13
55,14,771,593670,3,🜃,14
57,15,286,81510,1,🜁,14
58,15,436,189660,2,🜂,14
59,15,886,784110,3,🜃,15
61,16,326,159088,1,🜁,15
62,16,497,246512,2,🜂,15
63,16,1009,1017072,3,🜃,16
65,17,370,81770,1,🜁,16
66,17,562,315282,2,🜂,16
67,17,1140,1298460,3,🜃,17
69,18,415,171810,1,🜁,17
70,18,631,397530,2,🜂,17
71,18,1279,1634562,3,🜃,18
74,19,704,494912,2,🜂,18
75,19,1426,2032050,3,🜃,19
77,20,514,395780,1,🜁,19
78,20,781,609180,2,🜂,19
79,20,1581,2497980,3,🜃,20
81,21,568,322056,1,🜁,20
82,21,862,742182,2,🜂,20
83,21,1744,3039792,3,🜃,21
85,22,624,583440,1,🜁,21
86,22,947,895862,2,🜂,21
87,22,1915,3665310,3,🜃,22
89,23,690,61410,1,🜁,22
90,23,1036,1072260,2,🜂,22
91,23,2094,4382742,3,🜃,23
93,24,745,554280,1,🜁,23
94,24,1129,1273512,2,🜂,23
95,24,2281,5200680,3,🜃,24
97,25,810,392850,1,🜁,24
98,25,1226,1501850,2,🜂,24
99,25,2476,6128100,3,🜃,25
101,26,876,1150188,1,🜁,25
102,26,1327,1759602,2,🜂,25
103,26,2679,7174362,3,🜃,26
105,27,946,893970,1,🜁,26
106,27,1432,2049192,2,🜂,26
107,27,2890,8349210,3,🜃,27
109,28,1018,1553468,1,🜁,27
110,28,1541,2373140,2,🜂,27
111,28,3109,9662772,3,🜃,28
113,29,1102,124526,1,🜁,28
114,29,1654,2734062,2,🜂,28
115,29,3336,11125560,3,🜃,29
117,30,1171,1370070,1,🜁,29
118,30,1771,3134670,2,🜂,29
119,30,3571,12748470,3,🜃,30
121,31,1254,427614,1,🜁,30
122,31,1892,3577772,2,🜂,30
123,31,3814,14542782,3,🜃,31
125,32,1334,2668000,1,🜁,31
126,32,2017,4066272,2,🜂,31
127,32,4065,16520160,3,🜃,32
